tin,tax_type,yofa,period,trcd,sbcd,amount,txn_date,source_ref
101117L,FSS,2021,2021,70,,1.33,2021-04-24,PEN
101117L,FSS,2021,2021,60,,5.84,2026-06-01,RST
101117L,FSS,2021,2021,20,G,-9.76,2021-03-23,R50001440
101117L,FSS,2022,2022,10,,12.24,2022-05-16,A00001458
101117L,FSS,2022,2022,70,,0.63,2022-07-25,PEN
101117L,FSS,2022,2022,20,G,-6.67,2022-07-09,R50001441
101117L,FSS,2023,2023,10,,8.41,2023-08-16,A00001459
101117L,FSS,2023,2023,70,,0.75,2023-10-25,PEN
101117L,FSS,2023,2023,20,G,-1.77,2023-11-02,R50001442
101117L,FSS,2024,2024,10,,43.45,2024-02-14,A00001460
101117L,FSS,2024,2024,60,,7.04,2026-06-01,RST
101117L,FSS,2024,2024,20,G,-16.29,2024-02-27,R50001443
101117L,FSS,2025,2025,10,,73.45,2025-05-16,A00001461
101117L,FSS,2025,2025,70,,5.0,2025-07-25,PEN
101117L,FSS,2025,2025,20,G,-15.35,2025-08-10,R50001444
101117L,SSC,2023,2023,10,,24.84,2023-08-16,A00001462
101117L,SSC,2023,2023,60,,4.92,2026-06-01,RST
101117L,SSC,2023,2023,20,G,-18.03,2023-10-20,R50001445
101117L,SSC,2024,2024,10,,19.45,2024-05-16,A00001463
101117L,SSC,2024,2024,70,,1.79,2024-07-25,PEN
101117L,SSC,2024,2024,60,,2.8,2026-06-01,RST
101117L,SSC,2024,2024,20,G,-7.74,2024-06-06,R50001446
101117L,SSC,2025,2025,10,,33.66,2025-02-13,A00001464
101117L,SSC,2025,2025,20,G,-13.46,2025-03-26,R50001447
101123M,FSS,2023,2023,10,,299.26,2023-02-13,A00001465
101123M,FSS,2023,2023,70,,32.95,2023-04-24,PEN
101123M,FSS,2023,2023,60,,70.03,2026-06-01,RST
101123M,FSS,2023,2023,20,G,-83.27,2023-05-14,R50001448
101123M,FSS,2024,2024,10,,256.64,2024-05-16,A00001466
101123M,FSS,2024,2024,70,,21.63,2024-07-25,PEN
101123M,FSS,2024,2024,20,G,-125.96,2024-06-03,R50001449
101123M,FSS,2025,2025,10,,271.11,2025-08-16,A00001467
101123M,FSS,2025,2025,60,,13.01,2026-06-01,RST
101123M,FSS,2025,2025,20,G,-52.2,2025-09-27,R50001450
101131H,SSC,2022,2022,10,,1302.35,2022-02-13,A00001468
101131H,SSC,2022,2022,20,G,-1302.35,2022-04-07,R50001451
101131H,SSC,2023,2023,10,,2187.86,2023-08-16,A00001469
101131H,SSC,2023,2023,20,G,-2187.86,2023-09-21,R50001452
101131H,SSC,2024,2024,10,,514.15,2024-05-16,A00001470
101131H,SSC,2024,2024,20,G,-514.15,2024-06-06,R50001453
101131H,SSC,2025,2025,10,,4675.79,2025-08-16,A00001471
101131H,SSC,2025,2025,20,G,-4675.79,2025-10-18,R50001454
101131H,FSS,2023,2023,230,,1029.83,2023-05-16,A00001472
101131H,FSS,2023,2023,20,G,-1029.83,2023-06-02,R50001455
101131H,FSS,2024,2024,10,,61.32,2024-05-16,A00001473
101131H,FSS,2024,2024,20,G,-61.32,2024-08-04,R50001456
101131H,FSS,2025,2025,10,,1364.17,2025-02-13,A00001474
101131H,FSS,2025,2025,20,G,-1364.17,2025-04-28,R50001457
101136G,SSC,2021,2021,10,,1951.13,2021-05-16,A00001475
101136G,SSC,2021,2021,70,,173.72,2021-07-25,PEN
101136G,SSC,2021,2021,60,,702.41,2026-06-01,RST
101136G,SSC,2021,2021,20,G,-41.21,2021-07-25,R50001458
101136G,SSC,2022,2022,10,,8373.72,2022-11-15,A00001476
101136G,SSC,2022,2022,60,,2110.18,2026-06-01,RST
101136G,SSC,2022,2022,20,G,-5155.38,2023-02-04,R50001459
101136G,SSC,2023,2023,10,,16376.49,2023-05-16,A00001477
101136G,SSC,2023,2023,60,,3537.32,2026-06-01,RST
101136G,SSC,2023,2023,20,G,-10543.2,2023-06-25,R50001460
101136G,SSC,2024,2024,10,,5590.81,2024-02-14,A00001478
101136G,SSC,2024,2024,20,G,-1574.05,2024-03-09,R50001461
101136G,SSC,2025,2025,10,,11082.24,2025-11-15,A00001479
101136G,SSC,2025,2025,70,,1116.45,2026-01-24,PEN
101136G,SSC,2025,2025,20,G,-4432.9,2025-12-07,R50001462
101136G,FSS,2021,2021,10,,1931.34,2021-05-16,A00001480
101136G,FSS,2021,2021,70,,123.29,2021-07-25,PEN
101136G,FSS,2021,2021,20,G,-352.97,2021-06-17,R50001463
101136G,FSS,2022,2022,10,,11072.19,2022-11-15,A00001481
101136G,FSS,2022,2022,70,,1455.66,2023-01-24,PEN
101136G,FSS,2022,2022,20,G,-4650.63,2022-11-29,R50001464
101136G,FSS,2023,2023,10,,7210.48,2023-02-13,A00001482
101136G,FSS,2023,2023,70,,997.37,2023-04-24,PEN
101136G,FSS,2023,2023,60,,1687.25,2026-06-01,RST
101136G,FSS,2023,2023,20,G,-1330.83,2023-03-16,R50001465
101136G,FSS,2024,2024,10,,26951.89,2024-08-16,A00001483
101136G,FSS,2024,2024,70,,2489.59,2024-10-25,PEN
101136G,FSS,2024,2024,60,,3395.94,2026-06-01,RST
101136G,FSS,2024,2024,20,G,-15590.07,2024-11-08,R50001466
101136G,FSS,2025,2025,10,,22348.4,2025-08-16,A00001484
101136G,FSS,2025,2025,70,,1754.53,2025-10-25,PEN
101136G,FSS,2025,2025,60,,1072.72,2026-06-01,RST
101136G,FSS,2025,2025,20,G,-8939.36,2025-10-13,R50001467
101141M,CIT,2021,2021,10,,10.5,2021-05-31,A00001485
101141M,CIT,2021,2021,60,,3.78,2026-06-01,RST
101141M,CIT,2021,2021,20,G,-7.55,2021-07-13,R50001468
101141M,CIT,2022,2022,10,,21.2,2022-05-31,A00001486
101141M,CIT,2022,2022,70,,3.13,2022-08-09,PEN
101141M,CIT,2022,2022,20,G,-12.02,2022-07-19,R50001469
101141M,CIT,2023,2023,230,,14.19,2023-05-31,A00001487
101141M,CIT,2023,2023,70,,0.8,2023-08-09,PEN
101141M,CIT,2023,2023,60,,2.98,2026-06-01,RST
101141M,CIT,2023,2023,20,G,-2.36,2023-07-07,R50001470
101141M,CIT,2024,2024,230,,35.59,2024-05-31,A00001488
101141M,CIT,2024,2024,70,,2.71,2024-08-09,PEN
101141M,CIT,2024,2024,20,G,-4.45,2024-08-11,R50001471
101141M,CIT,2025,2025,10,,69.47,2025-05-31,A00001489
101141M,CIT,2025,2025,70,,8.24,2025-08-09,PEN
101141M,CIT,2025,2025,60,,4.59,2026-06-01,RST
101141M,CIT,2025,2025,20,G,-5.33,2025-06-11,R50001472
101141M,CIT,2023,2023,10,,14.63,2023-05-31,A00001490
101141M,CIT,2023,2023,60,,3.07,2026-06-01,RST
101141M,CIT,2023,2023,20,G,-1.42,2023-08-19,R50001473
101141M,CIT,2024,2024,10,,18.37,2024-05-31,A00001491
101141M,CIT,2024,2024,70,,2.32,2024-08-09,PEN
101141M,CIT,2024,2024,60,,2.54,2026-06-01,RST
101141M,CIT,2024,2024,20,G,-9.47,2024-06-12,R50001474
101141M,CIT,2025,2025,10,,70.26,2025-05-31,A00001492
101141M,CIT,2025,2025,70,,9.28,2025-08-09,PEN
101141M,CIT,2025,2025,60,,4.64,2026-06-01,RST
101141M,VAT,2020,2020,10,,11.71,2020-02-14,A00001493
101141M,VAT,2020,2020,70,,0.6,2020-04-24,PEN
101141M,VAT,2020,2020,60,,5.27,2026-06-01,RST
101141M,VAT,2020,2020,20,G,-3.52,2020-04-08,R50001475
101141M,VAT,2021,2021,10,,15.94,2021-02-13,A00001494
101141M,VAT,2021,2021,70,,2.18,2021-04-24,PEN
101141M,VAT,2021,2021,60,,6.03,2026-06-01,RST
101141M,VAT,2021,2021,20,G,-6.06,2021-03-21,R50001476
101141M,VAT,2022,2022,10,,6.94,2022-08-16,A00001495
101141M,VAT,2022,2022,60,,1.87,2026-06-01,RST
101141M,VAT,2022,2022,20,G,-2.36,2022-09-26,R50001477
101141M,VAT,2023,2023,10,,27.44,2023-05-16,A00001496
101141M,VAT,2023,2023,70,,3.93,2023-07-25,PEN
101141M,VAT,2023,2023,20,G,-11.2,2023-07-07,R50001478
101141M,VAT,2024,2024,10,,42.81,2024-11-15,A00001497
101141M,VAT,2024,2024,70,,4.14,2025-01-24,PEN
101141M,VAT,2024,2024,60,,4.62,2026-06-01,RST
101141M,VAT,2024,2024,20,G,-3.52,2025-02-02,R50001479
101141M,VAT,2025,2025,10,,74.61,2025-02-13,A00001498
101141M,VAT,2025,2025,70,,5.02,2025-04-24,PEN
101141M,VAT,2025,2025,20,G,-29.84,2025-04-28,R50001480
101141M,SSC,2022,2022,10,,14.41,2022-11-15,A00001499
101141M,SSC,2022,2022,60,,3.63,2026-06-01,RST
101141M,SSC,2022,2022,20,G,-2.32,2023-02-11,R50001481
101141M,SSC,2023,2023,10,,7.53,2023-05-16,A00001500
101141M,SSC,2023,2023,70,,0.84,2023-07-25,PEN
101141M,SSC,2023,2023,60,,1.63,2026-06-01,RST
101141M,SSC,2023,2023,20,G,-4.86,2023-08-01,R50001482
101141M,SSC,2024,2024,10,,19.75,2024-05-16,A00001501
101141M,SSC,2024,2024,70,,1.99,2024-07-25,PEN
101141M,SSC,2024,2024,60,,2.84,2026-06-01,RST
101141M,SSC,2024,2024,20,G,-11.29,2024-06-16,R50001483
101141M,SSC,2025,2025,10,,38.53,2025-05-16,A00001502
101141M,SSC,2025,2025,70,,4.08,2025-07-25,PEN
101141M,SSC,2025,2025,20,G,-1.62,2025-07-29,R50001484
101151M,SSC,2022,2022,10,,1042.76,2022-02-13,A00001503
101151M,SSC,2022,2022,20,G,-1042.76,2022-03-09,R50001485
101151M,SSC,2023,2023,10,,2037.0,2023-08-16,A00001504
101151M,SSC,2023,2023,20,G,-2037.0,2023-11-07,R50001486
101151M,SSC,2024,2024,230,,1954.22,2024-08-16,A00001505
101151M,SSC,2024,2024,20,G,-1954.22,2024-09-11,R50001487
101151M,SSC,2025,2025,10,,2609.93,2025-11-15,A00001506
101151M,SSC,2025,2025,20,G,-2609.93,2025-11-30,R50001488
101157L,CIT,2020,2020,230,,3.7,2020-05-31,A00001507
101157L,CIT,2020,2020,70,,0.4,2020-08-09,PEN
101157L,CIT,2020,2020,60,,1.6,2026-06-01,RST
101157L,CIT,2020,2020,20,G,-0.54,2020-08-25,R50001489
101157L,CIT,2021,2021,10,,4.96,2021-05-31,A00001508
101157L,CIT,2021,2021,70,,0.7,2021-08-09,PEN
101157L,CIT,2021,2021,20,G,-1.75,2021-08-28,R50001490
101157L,CIT,2022,2022,10,,2.52,2022-05-31,A00001509
101157L,CIT,2022,2022,70,,0.3,2022-08-09,PEN
101157L,CIT,2022,2022,60,,0.73,2026-06-01,RST
101157L,CIT,2022,2022,20,G,-1.57,2022-08-29,R50001491
101157L,CIT,2023,2023,10,,8.7,2023-05-31,A00001510
101157L,CIT,2023,2023,60,,1.83,2026-06-01,RST
101157L,CIT,2023,2023,20,G,-1.57,2023-07-15,R50001492
101157L,CIT,2024,2024,10,,2.6,2024-05-31,A00001511
101157L,CIT,2024,2024,20,G,-1.53,2024-08-22,R50001493
101157L,CIT,2025,2025,10,,17.66,2025-05-31,A00001512
101157L,CIT,2025,2025,70,,2.02,2025-08-09,PEN
101157L,CIT,2025,2025,60,,1.17,2026-06-01,RST
101157L,CIT,2025,2025,20,G,-0.6,2025-08-10,R50001494
101166A,CIT,2022,2022,230,,16.12,2022-05-31,A00001513
101166A,CIT,2022,2022,70,,1.14,2022-08-09,PEN
101166A,CIT,2022,2022,60,,4.64,2026-06-01,RST
101166A,CIT,2022,2022,20,G,-10.46,2022-07-11,R50001495
101166A,CIT,2023,2023,10,,12.57,2023-05-31,A00001514
101166A,CIT,2023,2023,60,,2.64,2026-06-01,RST
101166A,CIT,2023,2023,20,G,-7.97,2023-06-23,R50001496
101166A,CIT,2024,2024,10,,41.22,2024-05-31,A00001515
101166A,CIT,2024,2024,70,,2.14,2024-08-09,PEN
101166A,CIT,2024,2024,60,,5.69,2026-06-01,RST
101166A,CIT,2024,2024,20,G,-19.73,2024-07-06,R50001497
101166A,CIT,2025,2025,230,,70.74,2025-05-31,A00001516
101166A,CIT,2025,2025,70,,4.57,2025-08-09,PEN
101166A,CIT,2025,2025,60,,4.67,2026-06-01,RST
101166A,CIT,2025,2025,20,G,-28.3,2025-08-17,R50001498
101171A,CIT,2021,2021,10,,3034.98,2021-05-31,A00001517
101171A,CIT,2021,2021,70,,254.96,2021-08-09,PEN
101171A,CIT,2021,2021,60,,1092.59,2026-06-01,RST
101171A,CIT,2021,2021,20,G,-2103.9,2021-08-02,R50001499
101171A,CIT,2022,2022,10,,9532.97,2022-05-31,A00001518
101171A,CIT,2022,2022,70,,622.41,2022-08-09,PEN
101171A,CIT,2022,2022,60,,2745.5,2026-06-01,RST
101171A,CIT,2022,2022,20,G,-935.59,2022-07-25,R50001500
101171A,CIT,2023,2023,230,,14042.02,2023-05-31,A00001519
101171A,CIT,2023,2023,70,,913.53,2023-08-09,PEN
101171A,CIT,2023,2023,60,,2948.82,2026-06-01,RST
101171A,CIT,2023,2023,20,G,-5969.69,2023-06-17,R50001501
101171A,CIT,2024,2024,230,,10850.49,2024-05-31,A00001520
101171A,CIT,2024,2024,70,,1023.03,2024-08-09,PEN
101171A,CIT,2024,2024,60,,1497.37,2026-06-01,RST
101171A,CIT,2024,2024,20,G,-1203.83,2024-07-05,R50001502
101171A,CIT,2025,2025,10,,24808.69,2025-05-31,A00001521
101171A,CIT,2025,2025,70,,2490.72,2025-08-09,PEN
101171A,CIT,2025,2025,20,G,-9923.48,2025-08-17,R50001503
101171A,FSS,2022,2022,10,,6141.46,2022-11-15,A00001522
101171A,FSS,2022,2022,70,,529.3,2023-01-24,PEN
101171A,FSS,2022,2022,20,G,-1000.03,2023-02-12,R50001504
101171A,FSS,2023,2023,10,,19367.6,2023-02-13,A00001523
101171A,FSS,2023,2023,60,,4532.02,2026-06-01,RST
101171A,FSS,2023,2023,20,G,-14407.97,2023-04-05,R50001505
101171A,FSS,2024,2024,10,,10889.93,2024-08-16,A00001524
101171A,FSS,2024,2024,70,,1280.89,2024-10-25,PEN
101171A,FSS,2024,2024,60,,1372.13,2026-06-01,RST
101171A,FSS,2024,2024,20,G,-8134.74,2024-10-10,R50001506
101171A,FSS,2025,2025,10,,37526.28,2025-11-15,A00001525
101171A,FSS,2025,2025,60,,1125.79,2026-06-01,RST
101171A,FSS,2025,2025,20,G,-14455.83,2025-12-05,R50001507
101171A,SSC,2023,2023,10,,16144.13,2023-08-16,A00001526
101171A,SSC,2023,2023,20,G,-2080.55,2023-10-31,R50001508
101171A,SSC,2024,2024,10,,27052.89,2024-05-16,A00001527
101171A,SSC,2024,2024,70,,2543.83,2024-07-25,PEN
101171A,SSC,2024,2024,60,,3895.62,2026-06-01,RST
101171A,SSC,2024,2024,20,G,-2908.7,2024-06-15,R50001509
101171A,SSC,2025,2025,10,,24915.17,2025-08-16,A00001528
101171A,SSC,2025,2025,60,,1195.93,2026-06-01,RST
101171A,SSC,2025,2025,20,G,-543.63,2025-11-10,R50001510
101178M,VAT,2022,2022,10,,9.27,2022-11-15,A00001529
101178M,VAT,2022,2022,20,G,-6.47,2022-11-26,R50001511
101178M,VAT,2023,2023,10,,16.77,2023-08-16,A00001530
101178M,VAT,2023,2023,70,,1.12,2023-10-25,PEN
101178M,VAT,2023,2023,60,,3.32,2026-06-01,RST
101178M,VAT,2023,2023,20,G,-7.29,2023-08-31,R50001512
101178M,VAT,2024,2024,10,,19.37,2024-08-16,A00001531
101178M,VAT,2024,2024,70,,1.46,2024-10-25,PEN
101178M,VAT,2024,2024,60,,2.44,2026-06-01,RST
101178M,VAT,2024,2024,20,G,-4.77,2024-10-24,R50001513
101178M,VAT,2025,2025,10,,63.24,2025-05-16,A00001532
101178M,VAT,2025,2025,70,,6.86,2025-07-25,PEN
101178M,VAT,2025,2025,60,,4.55,2026-06-01,RST
101178M,VAT,2025,2025,20,G,-9.19,2025-07-02,R50001514
101178M,CIT,2020,2020,10,,13.06,2020-05-31,A00001533
101178M,CIT,2020,2020,70,,1.6,2020-08-09,PEN
101178M,CIT,2020,2020,60,,5.64,2026-06-01,RST
101178M,CIT,2020,2020,20,G,-5.96,2020-06-24,R50001515
101178M,CIT,2021,2021,10,,10.66,2021-05-31,A00001534
101178M,CIT,2021,2021,70,,1.03,2021-08-09,PEN
101178M,CIT,2021,2021,60,,3.84,2026-06-01,RST
101178M,CIT,2021,2021,20,G,-5.64,2021-08-19,R50001516
101178M,CIT,2022,2022,10,,9.61,2022-05-31,A00001535
101178M,CIT,2022,2022,20,G,-6.23,2022-06-22,R50001517
101178M,CIT,2023,2023,10,,16.13,2023-05-31,A00001536
101178M,CIT,2023,2023,70,,1.77,2023-08-09,PEN
101178M,CIT,2023,2023,20,G,-2.76,2023-07-26,R50001518
101178M,CIT,2024,2024,10,,27.67,2024-05-31,A00001537
101178M,CIT,2024,2024,60,,3.82,2026-06-01,RST
101178M,CIT,2024,2024,20,G,-11.3,2024-06-18,R50001519
101178M,CIT,2025,2025,10,,42.43,2025-05-31,A00001538
101178M,CIT,2025,2025,70,,3.46,2025-08-09,PEN
101178M,CIT,2025,2025,60,,2.8,2026-06-01,RST
101178M,CIT,2025,2025,20,G,-10.96,2025-08-15,R50001520
101184H,VAT,2020,2020,10,,34.17,2020-02-14,A00001539
101184H,VAT,2020,2020,70,,3.1,2020-04-24,PEN
101184H,VAT,2020,2020,20,G,-21.37,2020-03-11,R50001521
101184H,VAT,2021,2021,10,,88.35,2021-02-13,A00001540
101184H,VAT,2021,2021,60,,33.4,2026-06-01,RST
101184H,VAT,2021,2021,20,G,-30.97,2021-04-23,R50001522
101184H,VAT,2022,2022,10,,163.05,2022-08-16,A00001541
101184H,VAT,2022,2022,70,,22.25,2022-10-25,PEN
101184H,VAT,2022,2022,60,,44.02,2026-06-01,RST
101184H,VAT,2022,2022,20,G,-79.79,2022-10-17,R50001523
101184H,VAT,2023,2023,10,,235.99,2023-02-13,A00001542
101184H,VAT,2023,2023,70,,17.26,2023-04-24,PEN
101184H,VAT,2023,2023,60,,55.22,2026-06-01,RST
101184H,VAT,2023,2023,20,G,-90.31,2023-03-15,R50001524
101184H,VAT,2024,2024,10,,254.58,2024-11-15,A00001543
101184H,VAT,2024,2024,70,,32.43,2025-01-24,PEN
101184H,VAT,2024,2024,20,G,-182.32,2024-12-02,R50001525
101184H,VAT,2025,2025,10,,385.87,2025-02-13,A00001544
101184H,VAT,2025,2025,20,G,-56.16,2025-03-15,R50001526
101184H,PIT,2021,2021,10,,157.68,2021-05-31,A00001545
101184H,PIT,2021,2021,70,,21.24,2021-08-09,PEN
101184H,PIT,2021,2021,60,,56.76,2026-06-01,RST
101184H,PIT,2021,2021,20,G,-40.7,2021-06-30,R50001527
101184H,PIT,2022,2022,10,,114.74,2022-05-31,A00001546
101184H,PIT,2022,2022,60,,33.05,2026-06-01,RST
101184H,PIT,2022,2022,20,G,-57.88,2022-06-17,R50001528
101184H,PIT,2023,2023,10,,208.25,2023-05-31,A00001547
101184H,PIT,2023,2023,60,,43.73,2026-06-01,RST
101184H,PIT,2023,2023,20,G,-12.77,2023-07-08,R50001529
101184H,PIT,2024,2024,10,,346.95,2024-05-31,A00001548
101184H,PIT,2024,2024,70,,50.54,2024-08-09,PEN
101184H,PIT,2024,2024,60,,47.88,2026-06-01,RST
101184H,PIT,2024,2024,20,G,-72.05,2024-08-18,R50001530
101184H,PIT,2025,2025,10,,508.93,2025-05-31,A00001549
101184H,PIT,2025,2025,70,,42.79,2025-08-09,PEN
101184H,PIT,2025,2025,60,,33.59,2026-06-01,RST
101184H,PIT,2025,2025,20,G,-85.58,2025-06-15,R50001531
101190A,CIT,2023,2023,10,,8.58,2023-05-31,A00001550
101190A,CIT,2023,2023,70,,0.82,2023-08-09,PEN
101190A,CIT,2023,2023,60,,1.8,2026-06-01,RST
101190A,CIT,2023,2023,20,G,-4.29,2023-07-13,R50001532
101190A,CIT,2024,2024,10,,5.38,2024-05-31,A00001551
101190A,CIT,2024,2024,70,,0.76,2024-08-09,PEN
101190A,CIT,2024,2024,60,,0.74,2026-06-01,RST
101190A,CIT,2024,2024,20,G,-3.03,2024-08-24,R50001533
101190A,CIT,2025,2025,10,,22.88,2025-05-31,A00001552
101190A,CIT,2025,2025,70,,2.56,2025-08-09,PEN
101190A,CIT,2025,2025,20,G,-9.15,2025-06-24,R50001534
101190A,VAT,2021,2021,10,,2.53,2021-08-16,A00001553
101190A,VAT,2021,2021,70,,0.38,2021-10-25,PEN
101190A,VAT,2021,2021,60,,0.87,2026-06-01,RST
101190A,VAT,2021,2021,20,G,-1.41,2021-10-08,R50001535
101190A,VAT,2022,2022,10,,1.65,2022-11-15,A00001554
101190A,VAT,2022,2022,20,G,-0.91,2023-01-06,R50001536
101190A,VAT,2023,2023,10,,5.8,2023-02-13,A00001555
101190A,VAT,2023,2023,70,,0.32,2023-04-24,PEN
101190A,VAT,2023,2023,60,,1.36,2026-06-01,RST
101190A,VAT,2024,2024,10,,7.52,2024-08-16,A00001556
101190A,VAT,2024,2024,70,,0.84,2024-10-25,PEN
101190A,VAT,2024,2024,60,,0.95,2026-06-01,RST
101190A,VAT,2025,2025,10,,21.5,2025-11-15,A00001557
101190A,VAT,2025,2025,70,,1.21,2026-01-24,PEN
101190A,VAT,2025,2025,60,,0.65,2026-06-01,RST
101190A,VAT,2025,2025,20,G,-8.6,2025-11-27,R50001537
101198H,CIT,2021,2021,10,,277.76,2021-05-31,A00001558
101198H,CIT,2021,2021,70,,31.54,2021-08-09,PEN
101198H,CIT,2021,2021,60,,99.99,2026-06-01,RST
101198H,CIT,2021,2021,20,G,-106.28,2021-07-27,R50001538
101198H,CIT,2022,2022,10,,1217.27,2022-05-31,A00001559
101198H,CIT,2022,2022,70,,173.68,2022-08-09,PEN
101198H,CIT,2022,2022,60,,350.57,2026-06-01,RST
101198H,CIT,2022,2022,20,G,-103.99,2022-07-22,R50001539
101198H,CIT,2023,2023,10,,4397.37,2023-05-31,A00001560
101198H,CIT,2023,2023,70,,576.6,2023-08-09,PEN
101198H,CIT,2023,2023,60,,923.45,2026-06-01,RST
101198H,CIT,2023,2023,20,G,-1721.65,2023-06-24,R50001540
101198H,CIT,2024,2024,10,,8347.01,2024-05-31,A00001561
101198H,CIT,2024,2024,70,,1090.59,2024-08-09,PEN
101198H,CIT,2024,2024,60,,1151.89,2026-06-01,RST
101198H,CIT,2024,2024,20,G,-136.57,2024-07-26,R50001541
101198H,CIT,2025,2025,10,,17490.97,2025-05-31,A00001562
101198H,CIT,2025,2025,70,,2529.46,2025-08-09,PEN
101198H,CIT,2025,2025,20,G,-6201.91,2025-08-08,R50001542
101198H,SSC,2022,2022,10,,2889.32,2022-11-15,A00001563
101198H,SSC,2022,2022,70,,184.91,2023-01-24,PEN
101198H,SSC,2022,2022,60,,728.11,2026-06-01,RST
101198H,SSC,2022,2022,20,G,-1192.82,2023-01-31,R50001543
101198H,SSC,2023,2023,10,,3178.85,2023-02-13,A00001564
101198H,SSC,2023,2023,70,,299.06,2023-04-24,PEN
101198H,SSC,2023,2023,60,,743.85,2026-06-01,RST
101198H,SSC,2023,2023,20,G,-2030.68,2023-03-17,R50001544
101198H,SSC,2024,2024,10,,8057.43,2024-11-15,A00001565
101198H,SSC,2024,2024,70,,652.43,2025-01-24,PEN
101198H,SSC,2024,2024,60,,870.2,2026-06-01,RST
101198H,SSC,2024,2024,20,G,-1749.53,2024-12-24,R50001545
101198H,SSC,2025,2025,10,,8243.57,2025-05-16,A00001566
101198H,SSC,2025,2025,20,G,-3297.43,2025-08-04,R50001546
101198H,VAT,2020,2020,10,,1167.76,2020-05-16,A00001567
101198H,VAT,2020,2020,70,,162.91,2020-07-25,PEN
101198H,VAT,2020,2020,60,,504.47,2026-06-01,RST
101198H,VAT,2020,2020,20,G,-648.2,2020-07-03,R50001547
101198H,VAT,2021,2021,10,,1077.53,2021-08-16,A00001568
101198H,VAT,2021,2021,70,,120.58,2021-10-25,PEN
101198H,VAT,2021,2021,60,,368.52,2026-06-01,RST
101198H,VAT,2021,2021,20,G,-519.1,2021-11-04,R50001548
101198H,VAT,2022,2022,10,,1376.61,2022-11-15,A00001569
101198H,VAT,2022,2022,70,,89.85,2023-01-24,PEN
101198H,VAT,2022,2022,60,,346.91,2026-06-01,RST
101198H,VAT,2022,2022,20,G,-645.1,2022-12-23,R50001549
101198H,VAT,2023,2023,10,,4417.54,2023-08-16,A00001570
101198H,VAT,2023,2023,70,,596.0,2023-10-25,PEN
101198H,VAT,2023,2023,60,,874.67,2026-06-01,RST
101198H,VAT,2023,2023,20,G,-1122.15,2023-08-27,R50001550
101198H,VAT,2024,2024,10,,3186.31,2024-11-15,A00001571
101198H,VAT,2024,2024,70,,185.54,2025-01-24,PEN
101198H,VAT,2024,2024,60,,344.12,2026-06-01,RST
101198H,VAT,2024,2024,20,G,-1307.18,2025-01-12,R50001551
101198H,VAT,2025,2025,10,,1361.56,2025-08-16,A00001572
101198H,VAT,2025,2025,70,,124.53,2025-10-25,PEN
101198H,VAT,2025,2025,60,,65.35,2026-06-01,RST
101198H,VAT,2025,2025,20,G,-544.62,2025-11-11,R50001552
101198H,FSS,2023,2023,10,,5748.52,2023-05-16,A00001573
101198H,FSS,2023,2023,60,,1241.68,2026-06-01,RST
101198H,FSS,2023,2023,20,G,-1319.43,2023-05-30,R50001553
101198H,FSS,2024,2024,10,,2655.81,2024-08-16,A00001574
101198H,FSS,2024,2024,70,,327.63,2024-10-25,PEN
101198H,FSS,2024,2024,20,G,-258.05,2024-11-06,R50001554
101198H,FSS,2025,2025,10,,7718.24,2025-02-13,A00001575
101198H,FSS,2025,2025,70,,388.96,2025-04-24,PEN
101198H,FSS,2025,2025,20,G,-1929.99,2025-04-03,R50001555
101207A,SSC,2022,2022,10,,38772.04,2022-08-16,A00001576
101207A,SSC,2022,2022,70,,4384.48,2022-10-25,PEN
101207A,SSC,2022,2022,20,G,-5308.89,2022-10-29,R50001556
101207A,SSC,2023,2023,10,,35123.71,2023-08-16,A00001577
101207A,SSC,2023,2023,20,G,-9802.85,2023-09-15,R50001557
101207A,SSC,2024,2024,10,,33159.98,2024-05-16,A00001578
101207A,SSC,2024,2024,70,,3974.58,2024-07-25,PEN
101207A,SSC,2024,2024,60,,4775.04,2026-06-01,RST
101207A,SSC,2024,2024,20,G,-4650.02,2024-06-24,R50001558
101207A,SSC,2025,2025,230,,100830.1,2025-08-16,A00001579
101207A,SSC,2025,2025,70,,5220.19,2025-10-25,PEN
101207A,SSC,2025,2025,20,G,-2116.95,2025-10-18,R50001559
101207A,VAT,2020,2020,10,,20888.35,2020-05-16,A00001580
101207A,VAT,2020,2020,20,G,-6556.32,2020-07-28,R50001560
101207A,VAT,2021,2021,10,,41701.56,2021-11-15,A00001581
101207A,VAT,2021,2021,70,,4007.17,2022-01-24,PEN
101207A,VAT,2021,2021,60,,13511.31,2026-06-01,RST
101207A,VAT,2021,2021,20,G,-2032.32,2022-01-21,R50001561
101207A,VAT,2022,2022,10,,33341.17,2022-11-15,A00001582
101207A,VAT,2022,2022,70,,2065.78,2023-01-24,PEN
101207A,VAT,2022,2022,20,G,-5764.14,2023-01-19,R50001562
101207A,VAT,2023,2023,10,,24218.66,2023-02-13,A00001583
101207A,VAT,2023,2023,60,,5667.17,2026-06-01,RST
101207A,VAT,2023,2023,20,G,-5894.22,2023-03-11,R50001563
101207A,VAT,2024,2024,10,,73535.76,2024-02-14,A00001584
101207A,VAT,2024,2024,20,G,-37735.48,2024-02-29,R50001564
101207A,VAT,2025,2025,10,,67257.68,2025-11-15,A00001585
